829,1252,830,1252,907,1252,830,1252,1634,74,193,10,193,519,2549,280,193,420,2214,2223,519,2549,280,2549,2608,2549,2608,519,190,2223,519,190,519,2608,2549,193,10,193,519,705,
526,747,198,747,310,2513,74,1024,1335,1339,2677,2338,1478,2338,1024,1335,1032,591,287,549,507,549,672,535,109,955,560,157,716,611,1763,407,1875,2553,1875,1891,411,2232,163,189,
1425,1550,157,1452,1375,560,1452,560,78,469,214,78,469,214,78,157,1452,1289,1452,1375,1452,1375,560,246,560,246,560,1452,157,1550,1624,1550,1238,1550,1624,1550,1238,1025,1006,1025,
2372,1126,923,1126,1497,1212,1126,2489,1126,1212,580,922,1233,923,1233,922,923,1126,2489,2371,1126,2372,1126,2371,1126,2489,2372,2398,583,64,284,583,2568,2544,2568,612,2568,583,2568,2544,
720,438,96,478,396,478,470,478,565,465,2368,2642,2368,2642,2368,2642,2368,85,425,85,425,85,425,565,1540,1443,1540,842,1540,1378,559,1816,559,1816,558,557,558,1137,1687,1649,
1102,136,1539,136,2172,159,2674,1352,1672,903,1672,696,215,2061,2062,2060,857,2060,857,2060,857,1125,166,1125,1483,2052,2062,2061,215,2380,485,1838,485,2514,1838,719,1666,1133,1666,1133,
2363,129,2446,2451,129,163,1110,1728,1474,1249,1408,1931,1408,1921,2402,1931,1408,1921,1408,1931,1408,1931,2624,1878,2624,2702,2624,2429,1143,1404,163,2298,2518,2298,2518,163,2295,427,954,450,
1342,808,731,1778,731,576,1258,576,59,576,874,576,863,576,1381,570,872,1520,1200,570,1520,1709,839,1709,570,1524,1243,1524,1526,1520,59,1520,1072,839,1709,59,1709,839,1526,1524,
613,616,438,227,296,692,378,2447,378,2447,2010,2447,2010,2447,2010,2447,2010,2447,378,2195,1963,378,1678,1339,1111,1328,1513,785,1812,1407,1626,1164,1584,1626,1735,983,1302,983,887,1531,
2563,2220,2600,163,141,163,2564,1159,1485,1252,820,1115,1252,1485,1252,830,1252,1115,1252,918,1252,1485,1159,1485,1252,820,1252,1485,1159,163,714,2089,1603,1117,1114,163,1362,163,1219,1153,
621,1859,471,2,565,523,717,2502,2605,986,2614,2616,2484,2614,1644,1863,1964,2675,1824,102,1893,1895,102,404,102,2333,318,2333,102,1893,102,2583,1173,1328,785,1328,1513,862,1812,1407,
1053,1568,1053,931,1053,853,1019,927,1328,1020,2577,1020,430,236,156,521,1081,1082,1081,521,1259,2312,521,1082,2312,1259,2312,1259,136,2172,159,2066,159,985,1102,985,2066,985,2038,985,
2373,2507,2373,2507,2374,2373,2507,2239,2414,1718,1867,1718,810,1718,201,143,337,346,132,346,143,363,143,363,143,180,143,201,1718,2413,668,975,1079,1315,1079,611,716,157,2021,2428,
153,63,210,552,473,1459,2078,1459,566,16,552,220,552,749,2485,2480,566,633,565,1859,1791,1859,554,875,370,552,370,552,472,650,1557,1687,1649,148,460,148,460,281,858,1084,
2587,2312,1259,2312,1082,1259,1081,1259,136,986,1642,1377,288,66,69,66,1698,686,2541,638,375,635,430,1568,430,2137,2508,2137,431,1608,949,74,604,74,987,1240,912,1150,1149,912,
2596,2686,916,2686,916,2686,101,2680,157,2095,157,897,157,560,740,1683,740,164,740,418,135,418,1269,569,550,1422,1223,1607,1223,1607,1053,931,1484,1692,1484,1521,1237,1457,163,813,
411,1600,946,1179,946,427,1405,1463,1512,1235,1512,1671,1512,1608,431,156,521,1082,2312,1259,1082,1259,521,1259,2213,1259,92,136,1479,136,1370,1102,1479,2017,1479,136,1370,1102,1370,136,
311,406,427,1318,1283,1318,427,1340,1075,1340,427,146,747,386,747,186,566,466,294,564,1841,564,294,502,565,92,2438,92,2438,92,479,478,523,551,523,2408,1975,427,399,427,
2677,1582,2017,2677,2017,1582,2677,1339,1335,1032,967,689,1826,2630,1826,689,1580,689,967,1400,967,848,847,967,56,778,56,778,56,1027,1388,1027,638,1327,1569,1011,1569,1010,1651,1010,
469,214,157,214,157,2680,2596,2669,2596,2680,157,2021,87,2021,157,2021,87,2245,2471,2245,2471,2245,2471,2245,2243,2244,2243,831,885,831,885,177,911,585,378,2583,2333,102,2583,378,
1196,1038,1196,840,1196,840,1196,1038,1196,1038,916,1038,916,1038,916,157,1550,1419,525,1427,525,1427,525,522,68,1825,121,595,121,1825,979,766,979,1825,1966,1825,1966,1825,121,731,
2349,1929,2349,1929,2349,1929,2349,1929,2349,1929,2349,1929,2349,1929,2349,1929,2349,1929,2349,1929,2349,1929,2349,1929,2349,1929,2349,1929,2349,1929,2349,1929,2349,1929,2349,1929,2349,1929,2349,1929,
785,862,1019,1256,881,1256,1644,462,2582,411,1891,1875,1891,1875,2553,1875,407,1298,1285,405,1285,1176,1592,1161,2324,1161,1592,405,753,405,1592,1176,254,1176,1354,1001,1354,1674,1123,541,
198,747,610,427,658,163,563,247,563,247,563,219,2563,2220,2478,2220,2139,2226,2478,2226,1950,2226,1950,2226,2139,2220,129,1204,538,1204,1153,1257,1872,163,658,427,493,427,1811,2410,
1095,798,1095,1360,1095,1433,1095,792,798,507,2548,507,1888,2427,2548,2391,2548,2427,2591,2253,2213,1259,92,136,2231,2635,2231,136,1479,2543,2674,1352,1672,807,1438,565,1859,565,2629,2536,
1555,1550,1238,378,2290,2213,2126,426,29,429,1514,1333,1207,1333,1207,900,1533,781,1184,141,188,523,2642,2368,2642,565,1676,207,1536,1518,1536,207,1676,1146,1676,523,2480,523,2480,566,
2000,2115,2000,467,464,275,464,275,464,467,342,2546,342,495,270,467,495,342,729,342,1945,1993,1945,1993,342,276,270,495,339,342,1945,342,339,495,342,467,270,573,270,495,
2140,2292,1111,1101,843,575,1378,565,2480,565,34,559,1816,566,1782,2328,1782,2328,1782,2328,1782,2328,1782,565,566,1643,566,633,294,153,294,636,2173,636,2174,2687,2174,636,118,636,
2608,519,510,356,190,519,705,519,10,193,420,519,2448,519,280,519,420,193,238,46,301,238,301,489,46,867,667,2570,667,2072,2227,2072,2227,1923,2227,2072,36,2072,2227,1923,
1759,2697,2288,2697,2700,2698,2697,2700,2698,1759,2288,1759,2288,2697,2698,2697,2698,2697,2698,2700,2697,2700,2698,2700,2697,1759,2697,2698,1759,2288,2697,2698,2700,2698,2700,2697,2700,2697,2698,2697,
171,109,955,1280,955,1280,955,560,740,1683,1198,418,1269,1312,638,2465,2057,790,2057,790,1510,1234,790,1510,790,1510,1234,977,1234,1510,1234,977,1234,1187,1234,1275,2617,1428,2617,2091,
605,576,354,1520,834,1821,1801,1821,834,1520,59,570,59,1520,59,570,1245,570,1381,576,59,570,576,1710,1656,527,2662,2606,2459,553,123,553,2459,553,2459,553,2459,553,123,553,
2027,565,2442,929,1697,929,1559,1791,1859,565,2027,465,2027,636,2687,2174,1573,1481,964,1140,910,1481,964,1673,964,1432,910,1311,764,769,764,2174,636,118,565,1316,565,2485,565,2472,
1361,1463,1399,1463,999,1512,1087,1512,1235,1512,1671,344,2171,2032,2171,2032,344,1312,1622,1428,2079,1428,2539,1428,2617,1275,426,2126,2339,344,1627,344,2229,2663,1781,1819,2580,1819,2580,1819,
2423,1191,661,71,661,74,622,377,622,377,74,1103,74,1103,74,1676,207,747,763,1879,1760,1879,1760,427,230,427,2683,427,1284,430,1568,1053,853,1732,1644,322,1644,318,445,318,
2049,2306,2594,411,2232,163,1530,163,1106,1305,1575,163,935,163,1099,1178,163,1207,430,634,686,760,686,116,686,381,430,177,1959,177,1959,120,188,129,2193,538,402,681,2309,1325,
155,513,155,117,513,452,347,713,347,999,1240,1201,1240,1347,84,1347,1147,1347,84,12,155,513,117,513,155,12,155,12,155,84,12,84,715,84,155,84,347,84,1240,897,
1255,95,161,1147,1241,998,1241,772,312,645,211,645,312,577,312,772,2076,772,1241,912,1241,84,1550,1238,378,218,478,215,2061,96,649,2560,2555,2560,1505,932,865,251,932,865,
2684,2523,2684,2523,2684,2523,2684,2523,2684,2523,2684,2523,2684,2523,2684,2523,2684,2523,2684,2523,2684,2523,2684,2523,2684,2523,2684,2523,2684,2523,2684,2523,2684,2523,2684,2523,2684,2523,2684,2523,
789,415,1737,415,1737,380,2641,1745,2641,380,163,1594,1136,1018,1139,1598,780,1139,1598,780,1139,163,1807,2490,1807,163,793,1333,1369,1333,1369,1333,1708,1333,1514,429,1514,429,1290,1191,
1322,323,1322,1020,430,632,2508,632,2508,2577,2367,1833,2367,1833,2367,1833,2367,2577,2342,2593,634,2593,634,686,119,430,1637,430,1637,157,897,1240,950,1241,1147,1240,912,1241,912,1149,
1578,1182,1073,1636,2074,2607,2074,2615,2074,2615,1647,1908,1838,2380,485,2514,485,2380,1838,485,2561,1527,1894,2144,1894,2144,1894,827,909,1894,2524,260,1527,1086,1545,1909,1582,1908,2561,2380,
2240,2466,1830,2466,831,885,1335,1032,848,1032,848,1400,848,1739,848,1468,848,847,1468,638,348,1244,1061,1578,1622,344,1267,1500,1267,1512,1235,1512,999,1240,987,1240,1141,1241,1347,1241,
2542,2236,2435,2262,2542,2236,2435,2262,2435,2262,2435,2262,2542,2262,2542,2236,2262,2435,2262,2236,2262,2542,2236,2262,2435,2262,2236,2542,2236,2542,2262,2236,2435,2262,2236,2435,2236,2542,2262,2236,
524,1169,1454,524,1169,1284,1055,1284,1055,607,821,607,821,1421,821,607,438,96,649,479,92,479,136,244,136,1102,1370,136,1479,1102,985,2066,985,2066,159,2543,1479,136,986,2484,
1631,2330,2598,2330,1769,1696,1971,163,624,572,881,1119,881,2454,1342,2454,1058,1211,1520,354,839,354,839,576,874,1520,1526,576,1922,570,1520,873,920,873,920,873,1520,920,873,920,
2116,2125,2116,1775,1795,2178,1794,2545,2178,1794,2178,1795,1794,1795,1775,1795,2545,1795,1793,2178,2545,1795,1793,1775,2082,2178,2082,1775,1771,1696,163,266,163,1257,380,1257,163,2563,1583,2563,
1453,1210,1453,1210,883,1210,883,1210,883,1210,1453,1152,1453,1152,1453,1210,1453,539,1210,883,1210,539,183,539,1209,1215,825,1707,1215,824,1215,824,1621,1194,1122,799,2656,799,2656,2626,
986,136,244,750,244,565,239,1378,21,1378,882,1012,295,220,295,471,295,565,1373,1366,1373,1718,2582,462,2582,409,1606,28,1718,201,143,201,350,664,350,111,350,427,304,1912,
331,101,331,101,2680,101,2686,2596,2680,101,2680,101,1112,2415,2530,2090,2530,2090,2530,2090,2530,2090,2530,2090,1260,1312,1428,1312,1269,418,740,164,740,157,2540,1857,2020,1857,2681,160,
652,249,2649,2436,2649,249,652,86,652,249,652,249,86,652,86,373,652,86,373,86,652,249,652,373,86,735,1956,735,307,598,302,432,184,158,707,195,707,196,195,707,
997,1271,997,1271,236,1270,236,1617,430,1020,1329,1049,1329,1071,1292,1071,1292,1071,1329,2127,1329,1071,1292,1049,1329,1049,1498,2450,1881,2450,2449,2158,1498,163,2659,2030,2077,743,2077,2030,
